model_label,question,mean_score,std_score,max_points,pct_max
GPT-5,Q4,3.0555555555555554,0.3004626062886658,12.0,25.5
GPT-5,Q5,3.861111111111111,0.6263873490988712,12.0,32.2
GPT-5,Q6.1,3.388888888888889,0.7817359599705717,8.0,42.4
GPT-5,Q6.2,1.9444444444444444,0.39086797998528583,4.0,48.6
Gemini 2.5 Flash,Q1.1,0.5833333333333334,0.12499999999999999,1.0,58.3
Gemini 2.5 Flash,Q1.10,0.9166666666666666,0.125,1.0,91.7
Gemini 2.5 Flash,Q1.11,1.0,0.0,1.0,100.0
Gemini 2.5 Flash,Q1.12,0.8611111111111112,0.18162078931419473,1.0,86.1
Gemini 2.5 Flash,Q1.2,0.9166666666666666,0.17677669529663687,1.0,91.7
Gemini 2.5 Flash,Q1.3,1.0,0.0,1.0,100.0
Gemini 2.5 Flash,Q1.4,0.8333333333333334,0.25,1.0,83.3
Gemini 2.5 Flash,Q1.5,0.6666666666666666,0.5,1.0,66.7
Gemini 2.5 Flash,Q1.6,0.3333333333333333,0.5,1.0,33.3
Gemini 2.5 Flash,Q1.7,0.6666666666666666,0.5,1.0,66.7
Gemini 2.5 Flash,Q1.8,0.7222222222222222,0.44095855184409843,1.0,72.2
Gemini 2.5 Flash,Q1.9,1.0,0.0,1.0,100.0
Gemini 2.5 Flash,Q2.1.1,0.0,0.0,3.0,0.0
Gemini 2.5 Flash,Q2.1.2,0.0,0.0,3.0,0.0
Gemini 2.5 Flash,Q2.2,0.0,0.0,6.0,0.0
Gemini 2.5 Flash,Q3,10.0,1.3228756555322956,12.0,83.3
Gemini 2.5 Flash,Q4,3.6944444444444446,0.6588078458684125,12.0,30.8
Gemini 2.5 Flash,Q5,3.8333333333333335,0.4330127018922193,12.0,31.9
Gemini 2.5 Flash,Q6.1,4.055555555555555,0.6346477588219922,8.0,50.7
Gemini 2.5 Flash,Q6.2,3.1944444444444446,0.42898458920779164,4.0,79.9
Gemini 2.5 Pro,Q1.1,0.5555555555555556,0.16666666666666666,1.0,55.6
Gemini 2.5 Pro,Q1.10,1.0,0.0,1.0,100.0
Gemini 2.5 Pro,Q1.11,0.8333333333333334,0.25,1.0,83.3
Gemini 2.5 Pro,Q1.12,0.6666666666666666,0.25,1.0,66.7
Gemini 2.5 Pro,Q1.2,0.8333333333333334,0.25,1.0,83.3
Gemini 2.5 Pro,Q1.3,0.8333333333333334,0.25,1.0,83.3
Gemini 2.5 Pro,Q1.4,0.7222222222222222,0.26352313834736496,1.0,72.2
Gemini 2.5 Pro,Q1.5,0.6666666666666666,0.5,1.0,66.7
Gemini 2.5 Pro,Q1.6,0.3333333333333333,0.5,1.0,33.3
Gemini 2.5 Pro,Q1.7,0.6666666666666666,0.5,1.0,66.7
Gemini 2.5 Pro,Q1.8,0.6666666666666666,0.5,1.0,66.7
Gemini 2.5 Pro,Q1.9,0.8888888888888888,0.22047927592204922,1.0,88.9
Gemini 2.5 Pro,Q2.1.1,0.0,0.0,3.0,0.0
Gemini 2.5 Pro,Q2.1.2,0.0,0.0,3.0,0.0
Gemini 2.5 Pro,Q2.2,0.0,0.0,6.0,0.0
Gemini 2.5 Pro,Q3,9.055555555555555,1.5898986690282426,12.0,75.5
Gemini 2.5 Pro,Q4,4.111111111111111,1.1118053386771944,12.0,34.3
Gemini 2.5 Pro,Q5,4.166666666666667,0.8291561975888503,12.0,34.7
Gemini 2.5 Pro,Q6.1,4.666666666666667,0.82915619758885,8.0,58.3
Gemini 2.5 Pro,Q6.2,3.2222222222222223,0.6180165405913052,4.0,80.6
